,IP,Time,URL,Status,month,day,Methods,URL_new
14711,10.130.2.1,17/Feb/2018,POST /process.php HTTP/1.1,302,Feb,17,POST ,process.php HTTP
14712,10.130.2.1,17/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,17,GET ,login.php?value=fail HTTP
14713,10.131.0.1,18/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,18,GET ,robots.txt HTTP
14714,10.131.0.1,18/Feb/2018,GET /img/ruet.png HTTP/1.1,304,Feb,18,GET ,img
14715,10.128.2.1,18/Feb/2018,GET /home.php HTTP/1.1,302,Feb,18,GET ,home.php HTTP
14716,10.130.2.1,18/Feb/2018,GET /login.php HTTP/1.1,200,Feb,18,GET ,login.php HTTP
14717,10.128.2.1,18/Feb/2018,GET /css/bootstrap.min.css HTTP/1.1,200,Feb,18,GET ,css
14718,10.131.0.1,18/Feb/2018,GET /css/normalize.css HTTP/1.1,200,Feb,18,GET ,css
14719,10.130.2.1,18/Feb/2018,GET /css/font-awesome.min.css HTTP/1.1,200,Feb,18,GET ,css
14720,10.131.0.1,18/Feb/2018,GET /css/main.css HTTP/1.1,200,Feb,18,GET ,css
14721,10.128.2.1,18/Feb/2018,GET /css/style.css HTTP/1.1,200,Feb,18,GET ,css
14722,10.131.0.1,18/Feb/2018,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200,Feb,18,GET ,js
14723,10.131.0.1,18/Feb/2018,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200,Feb,18,GET ,js
14724,10.131.0.1,18/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200,Feb,18,GET ,bootstrap-3.3.7
14725,10.128.2.1,18/Feb/2018,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200,Feb,18,GET ,fonts
14726,10.128.2.1,18/Feb/2018,GET /img/ruet.png HTTP/1.1,200,Feb,18,GET ,img
14727,10.128.2.1,18/Feb/2018,POST /process.php HTTP/1.1,302,Feb,18,POST ,process.php HTTP
14728,10.128.2.1,18/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,18,GET ,login.php?value=fail HTTP
14729,10.128.2.1,18/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,18,GET ,login.php?value=fail HTTP
14730,10.131.0.1,18/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,18,GET ,login.php?value=fail HTTP
14731,10.131.0.1,18/Feb/2018,GET /login.php?value=fail HTTP/1.1,200,Feb,18,GET ,login.php?value=fail HTTP
14732,10.131.0.1,18/Feb/2018,GET /login.php HTTP/1.1,200,Feb,18,GET ,login.php HTTP
14733,10.131.0.1,18/Feb/2018,GET /sign.php HTTP/1.1,200,Feb,18,GET ,sign.php HTTP
14734,10.131.0.1,18/Feb/2018,GET /home.php HTTP/1.1,302,Feb,18,GET ,home.php HTTP
14735,10.131.0.1,18/Feb/2018,GET /login.php HTTP/1.1,200,Feb,18,GET ,login.php HTTP
14736,10.128.2.1,18/Feb/2018,GET /home.php HTTP/1.1,302,Feb,18,GET ,home.php HTTP
14737,10.128.2.1,18/Feb/2018,GET /login.php HTTP/1.1,200,Feb,18,GET ,login.php HTTP
14738,10.128.2.1,18/Feb/2018,GET /sign.php HTTP/1.1,200,Feb,18,GET ,sign.php HTTP
14739,10.128.2.1,18/Feb/2018,POST /action.php HTTP/1.1,302,Feb,18,POST ,action.php HTTP
14740,10.128.2.1,18/Feb/2018,GET /login.php HTTP/1.1,200,Feb,18,GET ,login.php HTTP
14741,10.128.2.1,18/Feb/2018,POST /process.php HTTP/1.1,302,Feb,18,POST ,process.php HTTP
14742,10.128.2.1,18/Feb/2018,GET /home.php HTTP/1.1,200,Feb,18,GET ,home.php HTTP
14743,10.128.2.1,18/Feb/2018,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200,Feb,18,GET ,bootstrap-3.3.7
14744,10.131.0.1,18/Feb/2018,GET /js/vendor/moment.min.js HTTP/1.1,200,Feb,18,GET ,js
14745,10.131.0.1,18/Feb/2018,GET /archive.php HTTP/1.1,200,Feb,18,GET ,archive.php HTTP
14746,10.131.0.1,18/Feb/2018,GET /description.php?id=55 HTTP/1.1,200,Feb,18,GET ,description.php?id=55 HTTP
14747,10.128.2.1,19/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,19,GET ,robots.txt HTTP
14748,10.130.2.1,19/Feb/2018,GET / HTTP/1.1,302,Feb,19,GET , HTTP
14749,10.130.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14750,10.128.2.1,19/Feb/2018,GET / HTTP/1.1,302,Feb,19,GET , HTTP
14751,10.130.2.1,19/Feb/2018,GET /login.php HTTP/1.1,200,Feb,19,GET ,login.php HTTP
14752,10.131.0.1,19/Feb/2018,GET /robots.txt HTTP/1.1,404,Feb,19,GET ,robots.txt HTTP
